epoch,phase,train_loss,val_loss,train_acc,val_acc,val_roc_auc,val_f1,lr,epoch_time_s
1,1,0.437066,0.497986,0.7668,0.7759,0.9432,0.8116,0.000750025,42.6
2,1,0.369408,0.424342,0.817,0.8621,0.9603,0.8909,0.0002500750000000001,39.5
3,1,0.329657,0.39019,0.8505,0.8678,0.9682,0.895,1e-07,41.3
4,2,0.346682,0.319946,0.8576,0.931,0.9725,0.9483,0.0004914831602809526,51.9
5,2,0.307517,0.318277,0.8692,0.9253,0.9806,0.9432,0.00046651304967592055,44.7
6,2,0.297494,0.298827,0.875,0.931,0.9815,0.9483,0.0004267913399575776,44.1
7,2,0.278396,0.327462,0.8969,0.9195,0.9832,0.9386,0.0003750250000000001,45.2
8,2,0.257341,0.309551,0.9079,0.931,0.9852,0.9478,0.00031474182032337515,44.8
9,2,0.259019,0.315768,0.9079,0.9195,0.984,0.9386,0.00025005000000000003,44.6
10,2,0.248896,0.325697,0.9137,0.9138,0.985,0.9339,0.000185358179676625,44.0
11,2,0.23683,0.293307,0.9246,0.9195,0.9892,0.9386,0.00012507500000000007,44.1
12,2,0.242937,0.290567,0.9182,0.931,0.9873,0.9478,7.330866004242248e-05,46.4
13,2,0.250518,0.289117,0.9253,0.9368,0.9884,0.9524,3.3586950324079554e-05,44.0
14,2,0.248959,0.278414,0.9175,0.9368,0.9884,0.9524,8.616839719047406e-06,44.0
15,2,0.253302,0.284429,0.9214,0.9253,0.989,0.9432,1e-07,44.1
