epoch,phase,train_loss,val_loss,train_acc,val_acc,val_roc_auc,val_f1,lr,epoch_time_s
1,1,0.346891,0.450994,0.8293,0.8448,0.9564,0.8756,0.000750025,47.8
2,1,0.259984,0.318881,0.9085,0.908,0.9793,0.9304,0.0002500750000000001,57.5
3,1,0.220382,0.319045,0.9536,0.908,0.983,0.9292,1e-07,54.4
4,2,0.217928,0.253606,0.9336,0.954,0.9914,0.9667,0.0004914831602809526,60.9
5,2,0.185555,0.253008,0.9543,0.954,0.992,0.9664,0.00046651304967592055,64.8
6,2,0.167797,0.259139,0.9768,0.9483,0.9887,0.9614,0.0004267913399575776,63.5
7,2,0.148755,0.243043,0.9813,0.9598,0.9952,0.97,0.0003750250000000001,61.6
8,2,0.138007,0.218177,0.9936,0.977,0.9978,0.9831,0.00031474182032337515,63.6
9,2,0.137969,0.21855,0.9916,0.9713,0.9975,0.9787,0.00025005000000000003,64.6
10,2,0.129319,0.208874,0.9955,0.9828,0.9977,0.9873,0.000185358179676625,59.9
11,2,0.128729,0.209742,0.9974,0.9828,0.9981,0.9873,0.00012507500000000007,59.4
12,2,0.126121,0.204846,0.9981,0.9828,0.9983,0.9874,7.330866004242248e-05,65.3
13,2,0.125765,0.202447,0.9961,0.9885,0.9985,0.9916,3.3586950324079554e-05,63.9
14,2,0.121434,0.202447,0.9994,0.9828,0.9985,0.9874,8.616839719047406e-06,64.1
15,2,0.123287,0.203031,0.9987,0.9828,0.9986,0.9874,1e-07,60.0
